dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.5,15,10,0.52603,130093.0,15.0,15.0,136.0,205.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.6,17,10,0.60669,119339.0,17.0,17.0,148.0,225.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.7,20,10,0.70081,108117.0,20.0,20.0,166.0,253.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.75,11,10,0.78938,105844.0,22.0,38.0,182.0,337.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.8,12,10,0.80498,101927.0,23.0,39.0,187.0,340.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.85,16,10,0.85261,89342.4,27.0,44.0,206.0,369.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.9,24,10,0.90978,77553.6,36.0,56.0,246.0,436.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.93,30,10,0.93174,70920.0,42.0,65.0,276.0,480.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.95,38,10,0.95035,61170.7,51.0,76.0,313.0,531.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.97,60,10,0.97348,47462.9,76.0,102.0,410.0,679.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.98,80,10,0.98161,39828.1,98.0,123.0,489.0,797.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.99,140,10,0.9913,26868.7,166.0,192.0,712.0,1131.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.92,1.0,32,64,1101,0.995,250,10,0.99516,17321.4,289.0,319.0,1071.0,1663.0,10000,0,56.515
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.2,10,1,0.2308,212310.0,10.0,10.0,88.0,137.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.3,12,1,0.358,178361.0,12.0,12.0,106.0,160.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.4,13,1,0.4182,167485.0,13.0,13.0,114.0,173.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.5,15,1,0.5297,149952.0,15.0,15.0,129.0,197.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.6,17,1,0.6211,127121.0,17.0,17.0,143.0,218.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.7,20,1,0.7314,122381.0,20.0,20.0,161.0,248.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.75,21,1,0.7569,111107.0,21.0,21.0,167.0,256.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.8,23,1,0.8025,104078.0,23.0,23.0,179.0,272.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.85,13,1,0.8749,102031.0,25.0,43.0,192.0,362.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.9,17,1,0.9109,83385.5,30.0,50.0,220.0,407.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.93,24,1,0.9398,76875.2,37.0,57.0,250.0,437.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.95,30,1,0.9549,66072.0,44.0,66.0,283.0,493.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.97,50,1,0.9735,47026.3,66.0,90.0,383.0,625.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.98,70,1,0.9814,39720.2,88.0,111.0,466.0,741.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.99,140,1,0.9907,25201.9,166.0,194.0,734.0,1131.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.995,375,1,0.9961,12187.7,423.0,459.0,1459.0,2162.0,10000,0,62.054
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.1,10,10,0.19821,181931.0,10.0,10.0,88.0,137.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.2,11,10,0.25624,188274.0,11.0,11.0,97.0,148.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.3,12,10,0.314,169802.0,12.0,12.0,106.0,160.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.4,14,10,0.42451,144047.0,14.0,14.0,121.0,185.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.5,16,10,0.52169,133993.0,16.0,16.0,136.0,206.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.6,19,10,0.64269,117830.0,19.0,19.0,155.0,239.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.7,21,10,0.70419,109450.0,21.0,21.0,167.0,256.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.75,23,10,0.75343,102129.0,23.0,23.0,179.0,272.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.8,11,10,0.80124,99306.8,23.0,40.0,182.0,345.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.85,15,10,0.8516,90923.1,27.0,44.0,202.0,373.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.9,22,10,0.90578,74003.9,35.0,55.0,242.0,430.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.93,28,10,0.93104,66169.5,42.0,64.0,275.0,484.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.95,36,10,0.95054,56774.6,51.0,73.0,315.0,537.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.97,55,10,0.97181,44637.9,71.0,94.0,401.0,651.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.98,80,10,0.98279,36429.5,99.0,123.0,509.0,802.0,10000,0,59.388
fashion_mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.99,120,10,0.99019,27217.2,143.0,171.0,660.0,1019.0,10000,0,59.388
