dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered
yandex_deep,euclidean,robust-prune,96,10000,1000000000,244,999999996.8861,1000000000.0,999998551,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,245,999999996.9686,1000000000.0,999998553,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,246,999999997.0495,1000000000.0,999998573,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,247,999999997.134,1000000000.0,999998598,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,248,999999997.2096,1000000000.0,999998603,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,249,999999997.2895,1000000000.0,999998604,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,250,999999997.3664,1000000000.0,999998606,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,251,999999997.4427,1000000000.0,999998607,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,252,999999997.5142,1000000000.0,999998613,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,253,999999997.5822,1000000000.0,999998624,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,254,999999997.6455,1000000000.0,999998627,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,255,999999997.7076,1000000000.0,999998628,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,256,999999997.7666,1000000000.0,999998630,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,257,999999997.8447,1000000000.0,999998681,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,258,999999997.9031,1000000000.0,999998686,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,259,999999997.9583,1000000000.0,999998692,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,260,999999998.0093,1000000000.0,999998707,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,261,999999998.074,1000000000.0,999998722,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,262,999999998.1276,1000000000.0,999998743,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,263,999999998.1777,1000000000.0,999998749,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,264,999999998.2273,1000000000.0,999998752,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,265,999999998.2709,1000000000.0,999998754,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,266,999999998.3241,1000000000.0,999998830,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,267,999999998.3687,1000000000.0,999998833,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,268,999999998.4104,1000000000.0,999998850,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,269,999999998.4509,1000000000.0,999998852,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,270,999999998.4954,1000000000.0,999998857,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,271,999999998.535,1000000000.0,999998859,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,272,999999998.5739,1000000000.0,999998860,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,273,999999998.6143,1000000000.0,999998880,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,274,999999998.6531,1000000000.0,999998882,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,275,999999998.6864,1000000000.0,999998883,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,276,999999998.7504,1000000000.0,999998886,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,277,999999998.7841,1000000000.0,999998889,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,278,999999998.8153,1000000000.0,999998891,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,279,999999998.8606,1000000000.0,999998974,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,280,999999998.8929,1000000000.0,999998975,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,281,999999998.9253,1000000000.0,999998976,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,282,999999998.9573,1000000000.0,999999004,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,283,999999998.9851,1000000000.0,999999011,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,284,999999999.0119,1000000000.0,999999015,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,285,999999999.0401,1000000000.0,999999023,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,286,999999999.0656,1000000000.0,999999027,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,287,999999999.0878,1000000000.0,999999028,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,288,999999999.1142,1000000000.0,999999031,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,289,999999999.1371,1000000000.0,999999032,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,290,999999999.1587,1000000000.0,999999033,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,291,999999999.1794,1000000000.0,999999036,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,292,999999999.2,1000000000.0,999999038,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,293,999999999.2209,1000000000.0,999999048,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,294,999999999.2408,1000000000.0,999999049,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,295,999999999.2624,1000000000.0,999999097,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,296,999999999.2795,1000000000.0,999999101,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,297,999999999.2975,1000000000.0,999999104,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,298,999999999.3128,1000000000.0,999999105,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,299,999999999.3345,1000000000.0,999999148,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,300,999999999.3506,1000000000.0,999999156,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,301,999999999.3661,1000000000.0,999999159,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,302,999999999.3834,1000000000.0,999999181,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,303,999999999.4006,1000000000.0,999999217,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,304,999999999.4141,1000000000.0,999999218,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,305,999999999.4281,1000000000.0,999999227,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,306,999999999.4403,1000000000.0,999999229,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,307,999999999.4519,1000000000.0,999999235,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,308,999999999.5109,1000000000.0,999999533,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,309,999999999.5233,1000000000.0,999999539,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,310,999999999.5344,1000000000.0,999999543,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,311,999999999.5455,1000000000.0,999999544,1000000000
yandex_deep,euclidean,robust-prune,96,10000,1000000000,312,999999999.5562,1000000000.0,999999546,1000000000
