edges,n_sources,n_active,frac_active,"mean cov frac (all, clamped)",mean cov frac (active only)
371,10000,9799,0.9799,0.9999898819493,0.9999896744048372
372,10000,9797,0.9797,0.9999899143566999,0.9999897053758293
373,10000,9796,0.9796,0.9999899467154,0.9999897373574929
374,10000,9793,0.9793,0.9999899789164,0.9999897670952722
375,10000,9792,0.9792,0.9999900114363001,0.9999897992609273
376,10000,9788,0.9788,0.9999900421168,0.9999898264372702
377,10000,9788,0.9788,0.9999900773722,0.999989862456273
378,10000,9788,0.9788,0.9999901070814,0.9999898928089497
379,10000,9787,0.9787,0.9999901401732,0.9999899255882293
380,10000,9786,0.9786,0.9999901715778,0.9999899566501124
381,10000,9782,0.9782,0.9999902024044,0.9999899840568391
382,10000,9780,0.978,0.9999902331471,0.9999900134428424
383,10000,9776,0.9776,0.9999902646827,0.9999900416148731
384,10000,9776,0.9776,0.9999902940665,0.9999900716719518
385,10000,9775,0.9775,0.9999903284137,0.9999901057940666
386,10000,9773,0.9773,0.9999903575707001,0.9999901336034994
387,10000,9773,0.9773,0.9999903883118,0.9999901650586309
388,10000,9773,0.9773,0.9999904179982001,0.9999901954345646
389,10000,9772,0.9772,0.9999904482511,0.9999902253899917
390,10000,9771,0.9771,0.9999904809946001,0.999990257900522
391,10000,9768,0.9768,0.9999905111406,0.999990285770475
392,10000,9767,0.9767,0.9999905416726,0.9999903160362446
393,10000,9764,0.9764,0.9999905701654,0.9999903422423188
394,10000,9762,0.9762,0.9999905969235999,0.999990367674247
395,10000,9760,0.976,0.999990626799,0.9999903963104508
396,10000,9760,0.976,0.9999906561155,0.9999904263478484
397,10000,9754,0.9754,0.999990682316,0.9999904473200738
398,10000,9754,0.9754,0.9999907114265,0.999990477164753
399,10000,9752,0.9752,0.9999907405974999,0.9999905051245898
400,10000,9751,0.9751,0.9999907679216,0.9999905321727003
401,10000,9749,0.9749,0.9999907946729,0.9999905576704277
402,10000,9748,0.9748,0.9999908219238,0.9999905846571604
403,10000,9745,0.9745,0.9999908495054,0.9999906100619805
404,10000,9744,0.9744,0.9999908775025,0.9999906378309729
405,10000,9742,0.9742,0.9999909035584,0.9999906626548963
406,10000,9740,0.974,0.9999909303975001,0.9999906882931211
407,10000,9738,0.9738,0.9999909608337,0.9999907176357569
408,10000,9737,0.9737,0.9999909861778999,0.9999907427112047
409,10000,9734,0.9734,0.9999910139688,0.9999907684084651
410,10000,9732,0.9732,0.999991043901,0.9999907972677764
411,10000,9732,0.9732,0.9999910708084,0.999990824916153
412,10000,9732,0.9732,0.9999910978827999,0.9999908527361282
413,10000,9730,0.973,0.9999911247757,0.9999908784950667
414,10000,9729,0.9729,0.9999911505014,0.9999909039997945
415,10000,9728,0.9728,0.9999911814386,0.9999909348669819
416,10000,9724,0.9724,0.999991207262,0.9999909576943644
417,10000,9723,0.9723,0.9999912316849,0.9999909818830608
418,10000,9721,0.9721,0.9999912562172001,0.9999910052640675
419,10000,9720,0.972,0.9999912811566,0.999991029996502
420,10000,9720,0.972,0.9999913077338001,0.9999910573393004
421,10000,9718,0.9718,0.9999913338177,0.999991082339679
422,10000,9718,0.9718,0.9999913602555,0.9999911095446594
423,10000,9714,0.9714,0.9999913840207,0.999991130348672
424,10000,9710,0.971,0.9999914081454999,0.9999911515401648
425,10000,9707,0.9707,0.9999914322424001,0.9999911736297517
426,10000,9706,0.9706,0.999991455982,0.9999911971790645
427,10000,9705,0.9705,0.9999914863803,0.9999912275943328
428,10000,9704,0.9704,0.999991509927,0.9999912509552761
429,10000,9703,0.9703,0.9999915367265,0.9999912776733999
430,10000,9701,0.9701,0.9999915597305,0.9999912995881868
431,10000,9700,0.97,0.9999915828801,0.9999913225568042
432,10000,9698,0.9698,0.999991606001,0.9999913446081665
433,10000,9696,0.9696,0.9999916290771,0.9999913666224216
434,10000,9693,0.9693,0.9999916513007,0.9999913868778499
435,10000,9693,0.9693,0.9999916750754,0.9999914114055504
436,10000,9692,0.9692,0.9999916969815,0.9999914331216467
437,10000,9688,0.9688,0.9999917190412,0.9999914523546655
438,10000,9687,0.9687,0.9999917407158,0.9999914738472179
439,10000,9683,0.9683,0.9999917635391,0.9999914938955902
440,10000,9681,0.9681,0.999991787973,0.999991517377337
441,10000,9679,0.9679,0.9999918094157,0.9999915377783862
442,10000,9677,0.9677,0.9999918311885999,0.9999915585290896
443,10000,9669,0.9669,0.9999918521224,0.9999915731951597
444,10000,9667,0.9667,0.9999918747688,0.9999915948782456
445,10000,9665,0.9665,0.9999918961137,0.9999916152236937
446,10000,9662,0.9662,0.9999919168072,0.9999916340376733
447,10000,9660,0.966,0.9999919388843,0.9999916551597308
448,10000,9657,0.9657,0.9999919597285,0.9999916741519106
449,10000,9656,0.9656,0.9999919811974,0.9999916955234052
450,10000,9654,0.9654,0.9999920043617999,0.9999917177975968
451,10000,9653,0.9653,0.9999920245313,0.9999917378341449
452,10000,9651,0.9651,0.9999920443693,0.9999917566773391
453,10000,9650,0.965,0.9999920647894,0.9999917769838341
