dataset,metric,method,dimensions,sources,total points,edges,mean points covered,median points covered,min points covered,max points covered,sources below 99.5% coverage,sources below 100% coverage
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,141,999963379.2493,999986888.0,995289461,1000000000,0,9986
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,142,999963744.161,999987037.5,995293000,1000000000,0,9986
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,143,999964104.796,999987136.0,995295864,1000000000,0,9986
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,144,999964471.6515,999987296.0,995320621,1000000000,0,9986
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,145,999964802.669,999987419.5,995334996,1000000000,0,9985
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,146,999965167.6457,999987504.5,995375807,1000000000,0,9985
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,147,999965489.922,999987639.5,995420048,1000000000,0,9983
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,148,999965849.8814,999987752.0,995426379,1000000000,0,9983
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,149,999966201.0168,999987855.0,995429948,1000000000,0,9983
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,150,999966532.5871,999988002.0,995432175,1000000000,0,9983
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,151,999966837.0876,999988095.5,995436297,1000000000,0,9983
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,152,999967130.1646,999988189.0,995438487,1000000000,0,9983
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,153,999967417.6204,999988307.5,995444280,1000000000,0,9980
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,154,999967721.7893,999988399.5,995476522,1000000000,0,9980
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,155,999968021.1322,999988499.0,995482096,1000000000,0,9980
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,156,999968302.6417,999988602.5,995494582,1000000000,0,9979
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,157,999968599.0377,999988702.0,995609843,1000000000,0,9979
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,158,999968883.5067,999988783.5,995660297,1000000000,0,9979
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,159,999969152.1115,999988895.0,995675249,1000000000,0,9978
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,160,999969414.9949,999988981.0,995684465,1000000000,0,9978
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,161,999969663.6318,999989093.0,995690549,1000000000,0,9978
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,162,999969961.7302,999989176.0,995693063,1000000000,0,9977
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,163,999970246.941,999989259.0,995733301,1000000000,0,9976
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,164,999970516.2644,999989337.0,995734634,1000000000,0,9976
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,165,999970886.9868,999989423.0,995736687,1000000000,0,9976
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,166,999971130.6285,999989504.5,995743686,1000000000,0,9976
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,167,999971360.3612,999989580.5,995757297,1000000000,0,9976
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,168,999971597.0425,999989672.0,995767633,1000000000,0,9975
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,169,999971836.9256,999989733.5,995786044,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,170,999972080.9941,999989804.5,995787649,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,171,999972298.4826,999989897.0,995810598,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,172,999972528.2864,999989986.5,995819854,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,173,999972747.7565,999990078.5,995840835,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,174,999972958.4307,999990148.0,995857162,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,175,999973182.2857,999990213.5,995859696,1000000000,0,9974
facebook_sim_searchnet++,euclidean,robust-prune,256,10000,1000000000,176,999973390.4314,999990288.0,995897966,1000000000,0,9974
