dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.5,14,10,0.50945,185096.0,14.0,14.0,163.0,229.0,10000,0,39.996
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.6,18,10,0.61436,156688.0,18.0,18.0,197.0,276.0,10000,0,39.996
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.7,12,10,0.70919,136351.0,22.0,39.0,230.0,418.0,10000,0,39.996
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.75,17,10,0.75669,114620.0,28.0,50.0,274.0,502.0,10000,0,39.996
coco_i2i-512-angular,euclidean,mod-vamana,0.94,1.0,32,64,1164,0.8,30,10,0.80157,86152.7,41.0,71.0,363.0,646.0,10000,0,39.996
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.4,10,1,0.4154,243885.0,10.0,10.0,133.0,189.0,10000,0,42.232
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.5,12,1,0.5068,212364.0,12.0,12.0,152.0,215.0,10000,0,42.232
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.6,15,1,0.6003,180460.0,15.0,15.0,179.0,252.0,10000,0,42.232
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.7,11,1,0.7058,144655.0,20.0,36.0,223.0,402.0,10000,0,42.232
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.75,17,1,0.7523,116100.0,27.0,48.0,275.0,501.0,10000,0,42.232
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.8,50,1,0.8002,65122.8,62.0,97.0,498.0,839.0,10000,0,42.232
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.3,10,10,0.39455,229232.0,10.0,10.0,133.0,189.0,10000,0,40.574
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.4,11,10,0.44598,214014.0,11.0,11.0,143.0,202.0,10000,0,40.574
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.5,13,10,0.52947,185629.0,13.0,13.0,162.0,228.0,10000,0,40.574
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.6,16,10,0.61736,163932.0,16.0,16.0,188.0,264.0,10000,0,40.574
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.7,10,10,0.70256,144886.0,19.0,34.0,215.0,387.0,10000,0,40.574
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.75,15,10,0.75225,123986.0,24.0,42.0,254.0,456.0,10000,0,40.574
coco_i2i-512-angular,euclidean,mod-vamana,0.95,1.0,32,64,1164,0.8,26,10,0.80014,92026.8,36.0,62.0,341.0,600.0,10000,0,40.574
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.2,10,1,0.2702,258873.0,10.0,10.0,118.0,174.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.3,11,1,0.3275,238983.0,11.0,11.0,129.0,189.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.4,13,1,0.4245,208707.0,13.0,13.0,151.0,217.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.5,15,1,0.5063,185178.0,15.0,15.0,172.0,243.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.6,19,1,0.6152,148126.0,19.0,19.0,209.0,292.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.7,10,1,0.7085,136646.0,21.0,40.0,236.0,449.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.75,15,1,0.7506,114749.0,26.0,47.0,278.0,507.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.8,45,1,0.8026,65743.6,58.0,89.0,492.0,830.0,10000,0,42.799
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.2,10,10,0.25269,252080.0,10.0,10.0,118.0,174.0,10000,0,40.771
coco_i2i-512-angular,euclidean,mod-vamana,0.96,1.0,32,64,1164,0.3,11,10,0.30623,230968.0,11.0,11.0,129.0,189.0,10000,0,40.771
