dataset,metric,method,gamma,alpha,R,L,S,target recall,beam width,k,recall,QPS,mean seen,tail seen,mean expanded,tail expanded,queries,pass,search wall (s)
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.97,55,10,0.97128,43475.4,69.0,107.0,397.0,665.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.98,80,10,0.98411,37181.4,96.0,136.0,510.0,824.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.99,120,10,0.99116,26422.7,140.0,188.0,675.0,1085.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.995,180,10,0.99524,19359.1,205.0,249.0,906.0,1427.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.93,1.0,32,64,1101,0.999,750,10,0.99908,6410.27,825.0,898.0,2677.0,4194.0,10000,0,61.689
mnist-784-euclidean,euclidean,mod-vamana,0.94,1.0,32,64,1101,0.3,11,1,0.3946,184318.0,11.0,11.0,108.0,167.0,10000,0,65.661
mnist-784-euclidean,euclidean,mod-vamana,0.94,1.0,32,64,1101,0.4,12,1,0.4477,144204.0,12.0,12.0,116.0,179.0,10000,0,65.661
mnist-784-euclidean,euclidean,mod-vamana,0.94,1.0,32,64,1101,0.5,13,1,0.5005,134760.0,13.0,13.0,124.0,190.0,10000,0,65.661
mnist-784-euclidean,euclidean,mod-vamana,0.94,1.0,32,64,1101,0.6,16,1,0.6249,128674.0,16.0,16.0,146.0,218.0,10000,0,65.661
mnist-784-euclidean,euclidean,mod-vamana,0.94,1.0,32,64,1101,0.7,19,1,0.7183,113833.0,19.0,19.0,166.0,245.0,10000,0,65.661
mnist-784-euclidean,euclidean,mod-vamana,0.94,1.0,32,64,1101,0.75,21,1,0.7633,108987.0,21.0,21.0,179.0,262.0,10000,0,65.661
mnist-784-euclidean,euclidean,mod-vamana,0.94,1.0,32,64,1101,0.8,10,1,0.8314,103090.0,21.0,40.0,184.0,342.0,10000,0,65.661
